sexo,idade,altura,peso,historico_obesidade_familia,consome_comida_calorica,consome_vegetais,n_refeicoes,come_entre_refeicoes,fuma,consumo_diario_agua,frequencia_atividade_fisica,tempo_usando_eletronicos,consumo_alcool,tipo_transporte
F,38.0,1.64,59.8,sim,sim,2.0,3.0,as vezes,nao,2.0,2.0,0.0,nao,transporte publico
M,21.196152,1.65,88.472359,sim,sim,2.4277,1.001633,as vezes,nao,3.0,1.172641,1.0,nao,transporte publico
F,18.871794,1.586895,41.452385,nao,sim,2.0,1.07976,as vezes,nao,1.0,0.194745,1.547086,as vezes,transporte publico
M,24.244029,1.622297,99.982541,sim,sim,2.941929,3.989492,as vezes,nao,1.014135,1.958694,0.687342,nao,transporte publico
F,21.0,1.63,51.0,nao,sim,2.0,1.0,as vezes,nao,1.0,1.0,1.0,nao,transporte publico
F,21.951309,1.730167,78.429312,sim,sim,2.138334,1.0,as vezes,nao,2.0,2.269058,0.0,as vezes,transporte publico
M,26.050109,1.773115,115.089316,sim,sim,2.392179,3.0,as vezes,nao,2.16467,1.079934,1.073026,as vezes,transporte publico
M,20.580984,1.798354,,sim,sim,2.0,3.0,as vezes,nao,2.401315,2.891986,0.0,nao,transporte publico
M,17.0,1.7,55.0,nao,sim,3.0,3.0,sempre,nao,2.0,3.0,1.0,as vezes,transporte publico
M,33.0,1.72,83.0,sim,sim,2.0,1.0,as vezes,nao,2.0,3.0,0.0,as vezes,carro
M,20.261925,1.807538,85.316125,sim,sim,2.0,3.0,as vezes,nao,1.968011,1.072662,0.776758,as vezes,transporte publico
F,25.976209,1.614484,104.999403,sim,sim,3.0,3.0,as vezes,nao,1.237557,0.083675,0.543761,as vezes,transporte publico
M,22.18881,1.717722,81.92991,sim,sim,2.0,1.152521,as vezes,nao,1.723159,1.39016,1.094941,as vezes,transporte publico
F,18.0,1.683,90.924208,sim,sim,2.387426,3.0,as vezes,nao,1.77962,,0.920162,as vezes,transporte publico
F,25.930376,1.608808,102.083964,sim,sim,3.0,3.0,as vezes,nao,1.019684,0.026033,1.0,as vezes,transporte publico
F,18.0,1.7,50.0,,nao,2.0,3.0,as vezes,nao,2.0,0.0,1.0,as vezes,andando
